epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,5452.36,1.13606,0.88249,1.50298,0.90372,0.88798,0.89438,0.54753,1.36766,0.56368,2.11761,0.000318977,0.000318977,0.000318977
108,5667.44,1.1303,0.8738,1.49548,0.90144,0.88798,0.89409,0.54852,1.36582,0.56358,2.11799,0.000313535,0.000313535,0.000313535
109,5882.11,1.12549,0.87107,1.49583,0.90023,0.88689,0.89397,0.54959,1.36426,0.56322,2.1181,0.000308103,0.000308103,0.000308103
110,6094,1.12332,0.8721,1.49197,0.90066,0.88684,0.89297,0.54857,1.36231,0.56236,2.11832,0.000302681,0.000302681,0.000302681
111,6310.25,1.11178,0.8704,1.48724,0.90029,0.88806,0.89308,0.54931,1.36042,0.56169,2.11866,0.000297272,0.000297272,0.000297272
112,6538.47,1.11461,0.85271,1.48489,0.90039,0.88908,0.89318,0.55107,1.35763,0.56169,2.11757,0.000291876,0.000291876,0.000291876
113,6758.57,1.1098,0.85043,1.48276,0.90144,0.88634,0.89166,0.54901,1.35427,0.56133,2.11525,0.000286494,0.000286494,0.000286494
114,6975.93,1.10078,0.84664,1.47559,0.90167,0.88579,0.89223,0.54959,1.35233,0.56004,2.11523,0.000281129,0.000281129,0.000281129
115,7193.72,1.09678,0.8481,1.47306,0.90177,0.88361,0.89144,0.55116,1.34947,0.56086,2.11464,0.000275782,0.000275782,0.000275782
116,7412.02,1.0879,0.84164,1.47024,0.89843,0.88525,0.89121,0.551,1.34657,0.56126,2.11372,0.000270453,0.000270453,0.000270453
117,7629.93,1.087,0.8352,1.46478,0.89768,0.88852,0.89085,0.55251,1.34424,0.56138,2.11377,0.000265144,0.000265144,0.000265144
118,7848.22,1.09264,0.84557,1.47521,0.89117,0.89617,0.89233,0.55338,1.34178,0.56117,2.1136,0.000259856,0.000259856,0.000259856
119,8065.84,1.08754,0.83688,1.46643,0.8914,0.89703,0.89175,0.55344,1.3393,0.56032,2.11327,0.000254591,0.000254591,0.000254591
120,8284,1.07313,0.82898,1.46143,0.89044,0.89672,0.89148,0.55354,1.33651,0.56065,2.1117,0.00024935,0.00024935,0.00024935
121,8501.91,1.07266,0.82838,1.45881,0.88989,0.89672,0.89071,0.55465,1.33374,0.55968,2.11036,0.000244135,0.000244135,0.000244135
122,8719.95,1.06843,0.82237,1.4511,0.88991,0.8967,0.89178,0.55531,1.33138,0.55861,2.11031,0.000238946,0.000238946,0.000238946
123,8938.1,1.06929,0.82586,1.45636,0.89013,0.89672,0.89148,0.55599,1.32904,0.55804,2.11023,0.000233785,0.000233785,0.000233785
124,9156.15,1.06068,0.80973,1.44672,0.8899,0.89664,0.89006,0.55752,1.32628,0.55669,2.10932,0.000228652,0.000228652,0.000228652
125,9374.23,1.06847,0.82646,1.45428,0.89003,0.89836,0.89049,0.55819,1.32435,0.55668,2.10925,0.000223551,0.000223551,0.000223551
126,9592.05,1.0569,0.81431,1.44508,0.89045,0.89721,0.89001,0.55849,1.32146,0.55608,2.10788,0.00021848,0.00021848,0.00021848
127,9809.82,1.04985,0.80222,1.43596,0.89242,0.89781,0.89056,0.55957,1.31946,0.55502,2.10891,0.000213443,0.000213443,0.000213443
128,10025.6,1.0484,0.80706,1.43659,0.89211,0.89836,0.89051,0.55996,1.31685,0.55383,2.10839,0.00020844,0.00020844,0.00020844
129,10240.6,1.04768,0.79975,1.43707,0.8919,0.89891,0.89078,0.56012,1.31439,0.55289,2.10805,0.000203472,0.000203472,0.000203472
130,10455,1.0485,0.79851,1.43527,0.89208,0.89889,0.88923,0.55985,1.31204,0.5526,2.10817,0.000198541,0.000198541,0.000198541
131,10669.3,1.03704,0.79326,1.42393,0.89281,0.89836,0.88895,0.55969,1.30957,0.55203,2.10813,0.000193648,0.000193648,0.000193648
132,10883.6,1.03711,0.79161,1.4298,0.89391,0.89891,0.89035,0.56132,1.30752,0.55184,2.10815,0.000188793,0.000188793,0.000188793
133,11097.9,1.0402,0.7969,1.4337,0.89448,0.89867,0.89021,0.56143,1.30456,0.55144,2.10696,0.000183979,0.000183979,0.000183979
134,11312.3,1.03532,0.7876,1.42751,0.89432,0.89717,0.88984,0.56107,1.30277,0.55102,2.10738,0.000179207,0.000179207,0.000179207
135,11527.1,1.03433,0.7924,1.42905,0.89535,0.89768,0.88964,0.56188,1.30141,0.55032,2.10838,0.000174476,0.000174476,0.000174476
136,11741.9,1.02108,0.7786,1.41994,0.89474,0.89563,0.88905,0.56215,1.29955,0.55056,2.10904,0.00016979,0.00016979,0.00016979
137,11956.2,1.02408,0.77744,1.42235,0.89461,0.89524,0.88847,0.56332,1.29685,0.55126,2.10879,0.000165148,0.000165148,0.000165148
138,12170.5,1.01921,0.77703,1.4169,0.89377,0.89656,0.88904,0.56341,1.29439,0.55059,2.10928,0.000160553,0.000160553,0.000160553
139,12385.6,1.01712,0.77055,1.41411,0.89478,0.89683,0.88887,0.56376,1.29266,0.5503,2.10999,0.000156004,0.000156004,0.000156004
140,12600.6,1.01713,0.77469,1.41422,0.89444,0.89617,0.88916,0.56379,1.29072,0.54979,2.1108,0.000151504,0.000151504,0.000151504
141,12815.5,1.0163,0.77299,1.41986,0.89478,0.89688,0.88863,0.56475,1.28802,0.55001,2.1108,0.000147054,0.000147054,0.000147054
142,13030.9,1.01091,0.77097,1.40958,0.8943,0.89563,0.88914,0.5658,1.28608,0.54953,2.111,0.000142654,0.000142654,0.000142654
143,13245.7,1.009,0.7586,1.408,0.8958,0.89726,0.88841,0.56583,1.28355,0.54855,2.11027,0.000138305,0.000138305,0.000138305
